"Carimbo de data/hora","Você utiliza celular com frequência?","Você utiliza computador com frequência?","Quando precisa fazer uma anotação, como por exemplo um orçamento ou relação de materiais, onde se sente mais confortável em fazê-las?","Já utilizou algum sistema em seu celular voltado para o trabalho?","Qual meio você utilizou pra mexer no sistema?","O quão confortável você se sente utilizando celular ou computador?","Em qual faixa etária você se encaixa?"," Eu acho que gostaria de usar este sistema com frequência.  ","Eu achei o sistema desnecessariamente complexo. ","Eu achei o sistema fácil de usar. ","Eu acho que precisaria de ajuda de uma pessoa com conhecimento técnico para conseguir usar este sistema. ","Eu achei que as funções do sistema estão bem integradas. ","Eu achei que o sistema apresenta muita inconsistência. ","Eu imagino que a maioria das pessoas aprenderia a usar este sistema rapidamente. ","Eu achei o sistema muito complicado de usar. ","Eu me senti confiante ao usar o sistema. ","Eu precisei aprender muitas coisas antes de conseguir usar este sistema.","O sistema me ajuda a fazer orçamentos mais rápido.","O sistema melhora a organização dos meus orçamentos e recebimentos.","Foi fácil aprender a usar o sistema.","Mesmo sem muita prática com tecnologia, consigo usar o sistema.","Usar o sistema deixa meu trabalho com aparência mais profissional.","Pessoas que eu conheço se aproveitaria desse sistema.","Se eu tiver dúvida, consigo me localizar por meio das instruções do sistema","Pretendo usar este sistema caso precise fazer orçamento."," Eu indicaria este sistema para um profissional."," Montar um orçamento neste sistema é mais rápido do que no meu jeito atual (papel, planilha ou mensagem).","O sistema me ajuda a ter um melhor controle dos orçamentos e recebimentos.","Conseguir reaproveitar ""serviços"" e ""materiais"" facilita o trabalho.","Em algum momento você ficou sem saber o que fazer? Caso queira, descreva.","Existiu alguma palavra, botão ou campo que você teve dificuldades em entender? Caso queira, descreva.","Você constatou algum erro no sistema? Se sim, como aconteceu?","Qual função do sistema você achou mais útil para o seu trabalho?","Faltou alguma coisa que você precisa no dia a dia e o sistema não tem?"
"2026/07/01 5:41:05 PM GMT-3","Sim","Sim","Whtasapp","Sim","Computador","Pouco Confortável","Mais que 55","4","3","4","2","4","2","4","2","4","3","5","5","5","4","4","4","4","4","4","5","4","3","","","","O cadastramento de serviços ",""
"2026/07/01 6:20:07 PM GMT-3","Sim","Sim","Papel","Sim","Computador","Muito confortável","Mais que 55","5","1","5","1","5","1","5","1","5","1","5","5","5","5","5","5","5","5","5","5","5","5","Não ","Não ","Não ","Realizar Orçamento ","Não "
"2026/07/02 3:07:39 PM GMT-3","Não","Não","Whtasapp","Não","Computador","Muito confortável","Entre 45-55","5","1","5","5","5","1","5","5","5","1","5","5","5","5","5","5","5","5","5","5","5","5","Não ","Não ","Não ","Todas ","Não "
"2026/07/02 7:28:14 PM GMT-3","Sim","Não","Papel","Não","Smartphone","Muito confortável","Entre 30-44","5","1","3","5","5","1","5","1","5","5","5","5","2","5","5","5","5","5","5","3","5","5","Sim! ","Sim , questão da lista de clientes, eu não sabia cadastrar! ","Questão de finalizar a etapa do orçamento , duas teclas pra finalizar com a mesma cor , me confundiu um pouco ! ","Facilita na hora de entregar o serviço, com orçamento escrito evita futuro transtornos do deveria ser feito e entregue ! ","Não ! "
"2026/07/02 7:35:14 PM GMT-3","Sim","Não","Papel","Não","Smartphone","Pouco Confortável","Entre 30-44","4","1","4","4","4","2","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","Sim fazer orçamento ","Não","O orçamento ","Não "
"2026/07/02 8:24:08 PM GMT-3","Sim","Não","Whtasapp","Não","Computador","Muito confortável","Entre 30-44","4","1","5","2","5","1","5","1","5","2","5","5","5","5","5","5","5","5","5","5","5","5","nao","nao","nao","calculo do vaior da mao de obra","nao"
"2026/07/03 7:06:17 AM GMT-3","Sim","Não","Notas do celular","Não","Computador","Pouco Confortável","Entre 18-29","4","4","4","3","4","3","2","2","3","3","5","4","3","4","2","4","4","3","4","5","3","4","nao","tranquilo","nao","todas","nao"
"2026/07/03 7:07:22 AM GMT-3","Sim","Não","Papel","Não","Computador","Muito confortável","Entre 18-29","3","4","4","4","5","3","4","3","2","3","4","4","4","5","3","5","3","4","4","4","3","4","nao","nao","nao","renda","nao"
"2026/07/03 7:46:14 AM GMT-3","Sim","Não","Whtasapp","Não","Smartphone","Muito confortável","Entre 30-44","4","1","5","1","1","1","5","1","5","5","5","4","5","5","5","4","5","4","5","5","5","5","nao","nao","nao","calculos","nao"
"2026/07/03 4:51:27 PM GMT-3","Sim","Não","Papel","Não","Smartphone","Muito confortável","Entre 45-55","4","1","4","2","5","1","5","1","5","4","5","5","5","4","5","5","4","5","5","5","5","4","nao","nao","nao","todas","nao"